SrNo	Timestamp	Sender's IP	Receiver's IP	Protocol Stack	Packets
349989	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349990	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349991	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349992	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349993	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349994	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349995	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349996	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349997	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349998	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
349999	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350000	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350001	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350002	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350003	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350004	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350005	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350006	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350007	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350008	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350009	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350010	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350011	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350012	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350013	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350014	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350015	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350016	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350017	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350018	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350019	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350020	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350021	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350022	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350023	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350024	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350025	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350026	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350027	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350028	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350029	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350030	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350031	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350032	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350033	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350034	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350035	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350036	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350037	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350038	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350039	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350040	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350041	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350042	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350043	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350044	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350045	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350046	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350047	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1236
350048	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350049	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350050	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350051	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350052	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350053	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350054	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350055	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350056	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350057	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350058	44:29.9	10.1.10.1	173.194.163.107	GQUIC	57
350059	44:29.9	10.1.10.1	173.194.163.107	GQUIC	57
350060	44:29.9	10.1.10.1	173.194.163.107	GQUIC	57
350061	44:29.9	10.1.10.1	173.194.163.107	GQUIC	57
350062	44:29.9	10.1.10.1	173.194.163.107	GQUIC	57
350063	44:29.9	10.1.10.1	173.194.163.107	GQUIC	57
350064	44:29.9	10.1.10.1	173.194.163.107	GQUIC	62
350065	44:29.9	10.1.10.1	173.194.163.107	GQUIC	62
350066	44:29.9	10.1.10.1	173.194.163.107	GQUIC	62
350067	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350068	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350069	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350070	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350071	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350072	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350073	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350074	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350075	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350076	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350077	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350078	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350079	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350080	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350081	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350082	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350083	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350084	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350085	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350086	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350087	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350088	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350089	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350090	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350091	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350092	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350093	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350094	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350095	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350096	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350097	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350098	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350099	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350100	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350101	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350102	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350103	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350104	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350105	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350106	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350107	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350108	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350109	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350110	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350111	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350112	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350113	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350114	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350115	44:29.9	173.194.163.107	10.1.10.1	GQUIC	289
350116	44:29.9	173.194.163.107	10.1.10.1	GQUIC	50
350117	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1371
350118	44:29.9	10.1.10.1	173.194.163.107	GQUIC	62
350119	44:29.9	10.1.10.1	173.194.163.107	GQUIC	62
350120	44:29.9	10.1.10.1	173.194.163.107	GQUIC	62
350121	44:29.9	10.1.10.1	173.194.163.107	GQUIC	62
350122	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350123	44:29.9	173.194.163.107	10.1.10.1	GQUIC	1378
350124	44:29.9	10.1.10.1	173.194.163.107	GQUIC	57
350125	44:29.9	173.194.163.107	10.1.10.1	GQUIC	62
350126	44:30.0	10.1.10.1	173.194.163.107	GQUIC	57
350127	44:30.0	173.194.163.107	10.1.10.1	GQUIC	1378
350128	44:30.0	10.1.10.1	173.194.163.107	GQUIC	57
350129	44:30.1	10.1.10.1	173.194.163.107	GQUIC	589
350130	44:30.1	10.1.10.1	173.194.163.107	GQUIC	589
350131	44:30.1	173.194.163.107	10.1.10.1	GQUIC	50
350132	44:30.2	173.194.163.107	10.1.10.1	GQUIC	50
350133	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350134	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350135	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350136	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350137	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350138	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350139	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350140	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350141	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350142	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350143	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350144	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350145	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350146	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350147	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350148	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350149	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350150	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350151	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350152	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350153	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350154	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350155	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350156	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350157	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350158	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350159	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350160	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350161	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350162	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350163	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350164	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350165	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350166	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350167	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350168	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350169	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350170	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350171	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350172	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350173	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350174	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350175	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350176	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350177	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350178	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350179	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350180	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350181	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1110
350182	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350183	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350184	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350185	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350186	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350187	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350188	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350189	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350190	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350191	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350192	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350193	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350194	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350195	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350196	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350197	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350198	44:30.2	173.194.163.107	10.1.10.1	GQUIC	1378
350199	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350200	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350201	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350202	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350203	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350204	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350205	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350206	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350207	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350208	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350209	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350210	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350211	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350212	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350213	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350214	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350215	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350216	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350217	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350218	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350219	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350220	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350221	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350222	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350223	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350224	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350225	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350226	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350227	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350228	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350229	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350230	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350231	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350232	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350233	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350234	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350235	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350236	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350237	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350238	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350239	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350240	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350241	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350242	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350243	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350244	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350245	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350246	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350247	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350248	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350249	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350250	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350251	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350252	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350253	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350254	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350255	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350256	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350257	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350258	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350259	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350260	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350261	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350262	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350263	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350264	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350265	44:30.3	173.194.163.107	10.1.10.1	GQUIC	848
350266	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350267	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350268	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350269	44:30.3	173.194.163.107	10.1.10.1	GQUIC	1378
350270	44:30.3	10.1.10.1	173.194.163.107	GQUIC	57
350271	44:34.6	10.1.10.1	173.194.163.107	GQUIC	590
350272	44:34.6	10.1.10.1	173.194.163.107	GQUIC	590
350273	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350274	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350275	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350276	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350277	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350278	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350279	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350280	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350281	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350282	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350283	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350284	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350285	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350286	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
350287	44:34.6	173.194.163.107	10.1.10.1	GQUIC	1378
